user_id,item_id,item_name,main_category,score,strategy
0,133,桂林阳朔度假区,度假村,0.06568241119384766,model_embedding
0,94,杭州西湖国宾馆,酒店住宿,0.06205330044031143,model_embedding
0,192,苏州乐园,主题乐园,0.054120130836963654,model_embedding
0,77,广州花园酒店,酒店住宿,0.05281360074877739,model_embedding
0,150,丽江金茂凯悦臻选酒店,酒店住宿,0.04776933789253235,model_embedding
1,33,城际巴士,文化体验,0.14154595136642456,model_embedding
1,72,深圳福田香格里拉大酒店,酒店住宿,0.14122962951660156,model_embedding
1,127,高档餐厅,酒店住宿,0.14021843671798706,model_embedding
1,179,上海野生动物园,动物园,0.137440025806427,model_embedding
1,107,八达岭长城,历史地标,0.13528308272361755,model_embedding
2,126,中国美术馆,博物馆,0.16697046160697937,model_embedding
2,169,黄山温泉度假区,度假村,0.12302758544683456,model_embedding
2,113,湿地公园游,旅游观光,0.11867928504943848,model_embedding
2,90,苏州凯悦酒店,酒店住宿,0.1183539479970932,model_embedding
2,197,深圳四季酒店,酒店住宿,0.10836437344551086,model_embedding
3,167,河南博物院,博物馆,0.162605881690979,model_embedding
3,223,故宫博物院,博物馆,0.09706737101078033,model_embedding
3,195,成都大熊猫繁育研究基地,动物园,0.09413011372089386,model_embedding
3,111,芜湖方特欢乐世界,主题乐园,0.08516483008861542,model_embedding
3,156,海滨度假村,海滩,0.08487994968891144,model_embedding
4,103,重庆欢乐谷,主题乐园,0.12797793745994568,model_embedding
4,9,外滩酒吧,酒店住宿,0.11549977213144302,model_embedding
4,36,体育用品商店,购物,0.11496256291866302,model_embedding
4,138,租车公司,文化体验,0.11390703171491623,model_embedding
4,101,保龄球娱乐中心,餐饮美食,0.09294192492961884,model_embedding
5,106,南京海底世界,博物馆,0.13820454478263855,model_embedding
5,84,南京博物院,博物馆,0.1155557781457901,model_embedding
5,179,上海野生动物园,动物园,0.1077127754688263,model_embedding
5,76,前门大街,历史地标,0.10496951639652252,model_embedding
5,33,城际巴士,文化体验,0.10289813578128815,model_embedding
6,152,九寨沟度假区,度假村,0.23181691765785217,model_embedding
6,94,杭州西湖国宾馆,酒店住宿,0.20569147169589996,model_embedding
6,136,精品酒店,酒店住宿,0.20188406109809875,model_embedding
6,145,租车服务站,文化体验,0.19831882417201996,model_embedding
6,71,北京植物园,植物园,0.19277560710906982,model_embedding
7,113,湿地公园游,旅游观光,0.08791624009609222,model_embedding
7,169,黄山温泉度假区,度假村,0.08655619621276855,model_embedding
7,157,香山公园,公园景区,0.08474748581647873,model_embedding
7,197,深圳四季酒店,酒店住宿,0.0846284031867981,model_embedding
7,162,高级牛排馆,酒店住宿,0.07520289719104767,model_embedding
8,214,创意融合餐厅,酒店住宿,0.1908356100320816,model_embedding
8,7,北京国贸大酒店,酒店住宿,0.15892913937568665,model_embedding
8,85,北京动物园,动物园,0.1556357741355896,model_embedding
8,168,水立方国家游泳中心,户外活动,0.1488359272480011,model_embedding
8,62,成都欢乐谷,主题乐园,0.13354544341564178,model_embedding
9,65,中国国家博物馆,博物馆,0.16191774606704712,model_embedding
9,106,南京海底世界,博物馆,0.15839636325836182,model_embedding
9,132,宁波方特东方神画,主题乐园,0.14881066977977753,model_embedding
9,84,南京博物院,博物馆,0.13610878586769104,model_embedding
9,103,重庆欢乐谷,主题乐园,0.13265261054039001,model_embedding
